# T,mK        Rk*T^2 , K^3 m^2 / W
3.3559960849  0.163086351219
3.91439381766  0.199321432224
4.85167925438  0.210163908083
5.43181452968  0.229642966707
6.37260602165  0.237782858312
7.21990270697  0.251324996713
8.07421150278  0.259461966605
9.01430178371  0.26814237506
10.1182417133  0.283855346004
11.1427110572  0.294160226725
11.9942150088  0.304459264021
13.1037646268  0.315848100156
14.3883832703  0.325621229165
15.4247732021  0.326737323419
16.6418418477  0.321913575738
17.7689217419  0.319789490599
18.978277066  0.320911428279
20.3605977824  0.322039209385
21.6543321695  0.32478561933
22.8622850715  0.326988590712
24.077951295  0.323245876733
25.2915138854  0.321124713307
26.5999737046  0.312520269382
28.2543643084  0.303927512308
29.5684338159  0.290998933575
31.6650548552  0.274853549151
33.0585949484  0.26733306064
34.4675616847  0.247921201408
35.6972521292  0.23336815041
37.1800797628  0.223688516208
39.0855039224  0.221590726484
42.0469519232  0.205474559187
