# T [mK]       viscosity*T^2 [P*mK^2]
# 19.89 bar
2.54303885499  1.23214285714
2.47580536612  1.25892857143
2.61279612347  1.31696428571
2.70254172649  1.28571428571
2.7935996949  1.3125
2.77209709261  1.36160714286
2.88465766332  1.33928571429
3.04345387653  1.36160714286
3.04456433955  1.41071428571
3.20295674803  1.41517857143
3.24858668342  1.43303571429
3.38386127064  1.41517857143
3.56456389088  1.40625
3.42999596195  1.45535714286
3.65683327351  1.48660714286
3.90537508973  1.47767857143
3.90446652907  1.4375
4.17683282484  1.48214285714
4.35793924982  1.49107142857
4.47161028356  1.51785714286
4.72055590452  1.52678571429
4.78728463747  1.47767857143
4.99070127423  1.47321428571
5.0377445262  1.55357142857
5.35311602656  1.5
5.3548321967  1.57589285714
5.51282080043  1.5625
5.986988514  1.53125
6.41784816942  1.58482142857
7.00609072146  1.59821428571
7.54860238693  1.58928571429
8.36358129935  1.62946428571
9.01875448672  1.60267857143
9.92489231874  1.67410714286
