# T [mK]       viscosity*T^2 [P*mK^2]
# 4.65 bar
1.65537508973  1.97767857143
1.67899766691  2.02232142857
1.85980123833  2.01785714286
1.95267632807  2.125
1.97488558866  2.10714285714
2.04222002872  2.08482142857
2.15579011127  2.10714285714
2.33709843862  2.125
2.3150910804  2.15178571429
2.49538989591  2.125
2.60966663676  2.17857142857
2.74524407753  2.17410714286
2.92655240488  2.19196428571
3.06162508973  2.16517857143
3.31178212491  2.22767857143
3.46936692391  2.19642857143
3.60645863245  2.25892857143
3.96826767767  2.25892857143
4.12706389088  2.28125
4.21670854271  2.24553571429
4.30564653625  2.17857142857
4.53268575018  2.21875
4.91942973798  2.32142857143
5.59812455133  2.33482142857
6.68476310122  2.38839285714
