# T [mK]       viscosity*T^2 [P*mK^2]
# 9.89 bar
2.0319230079  1.62946428571
2.07795674803  1.66517857143
2.16911566762  1.69642857143
2.1471083094  1.72321428571
2.21585606604  1.76339285714
2.44188576813  1.75892857143
2.51033067121  1.78571428571
2.64560525844  1.76785714286
2.71193018665  1.70089285714
2.87153400933  1.75892857143
2.62390075377  1.80803571429
2.82772119526  1.82142857143
3.03113783202  1.81696428571
3.25686468055  1.79910714286
3.19003499641  1.84375
3.48228867552  1.76785714286
3.84480437904  1.79910714286
3.55234879756  1.86607142857
3.80159727207  1.88839285714
3.98260274587  1.89285714286
4.18672604092  1.91964285714
4.43597451543  1.94196428571
4.29716663676  1.80357142857
4.63676642139  1.82142857143
5.04410445083  1.83482142857
5.51988738335  1.875
4.95728643216  1.99553571429
5.70402234386  2.01785714286
6.45035445083  2.02232142857
6.51566986719  1.91071428571
7.60382268485  2.03125
7.66853239411  1.89285714286
9.20995603015  2.05803571429
9.22994436468  1.94196428571
