# T [mK]       viscosity*T^2 [P*mK^2]
# 2.10 bar
1.34676731874  2.33035714286
1.39290201005  2.37053571429
1.64164572864  2.37053571429
1.73159323403  2.34821428571
1.86767543073  2.36607142857
2.0260678392  2.37053571429
2.23029208543  2.40178571429
1.41753409907  2.45982142857
1.48496949031  2.44196428571
1.62054693108  2.4375
2.21060660445  2.53125
2.27743628859  2.48660714286
2.45884556712  2.50892857143
2.75311826992  2.52232142857
3.00085247667  2.47767857143
3.22688217875  2.47321428571
3.47502019024  2.44642857143
3.45402234386  2.51785714286
3.90577889447  2.49553571429
2.79612347452  2.42410714286
2.68275529433  2.41071428571
2.45652368988  2.40625
2.23029208543  2.40178571429
2.56918521177  2.38839285714
4.11182026202  2.60714285714
4.42759556712  2.57142857143
4.76517632807  2.5
5.0592471285  2.50446428571
5.44700062814  2.65178571429
4.74559179828  2.63392857143
5.82930276382  2.55803571429
6.10308237617  2.66517857143
6.73776247308  2.73214285714
6.89423680905  2.65178571429
7.41655823762  2.75
8.02610148959  2.70535714286
8.04942121321  2.73660714286
8.68309179828  2.75892857143
9.2708295944  2.75
9.4973640524  2.76785714286
