# T [mK]       viscosity*T^2 [P*mK^2]
# 29.34 bar
2.74261934673  1.05803571429
2.69809987437  1.08928571429
2.81136710337  1.09821428571
2.90272792534  1.13839285714
2.92594669777  1.16517857143
3.08373339914  1.14285714286
3.08474291098  1.1875
3.19821204235  1.20535714286
3.287755743  1.16517857143
3.35630159727  1.19642857143
3.51519876167  1.22321428571
3.58283605528  1.21428571429
3.53700421752  1.1875
3.78706030151  1.24553571429
3.8997218234  1.22767857143
4.0129890524  1.23660714286
4.30756460876  1.26339285714
4.55630832735  1.26339285714
4.73721284996  1.26339285714
4.96293969849  1.24553571429
5.3261620603  1.30803571429
5.43811692391  1.25892857143
6.07239321608  1.30803571429
6.23118942929  1.33035714286
7.09119256999  1.36160714286
8.01853015075  1.37053571429
8.10928526561  1.38392857143
8.83239860014  1.36160714286
9.39873474515  1.40625
9.57913451184  1.38392857143
