 triple micro
 Wire properties: material is NbTi       of density   6.0500 g/cm^3
  and diameter 0.04500 mm
 
  RESONANT FREQUENCY =  770.0 Hz
 
  PRESSURE IS  0.000 BAR
  Tc =   0.929 mK   TAB =  0.929 mK   viscosity at Tc =   0.22634 Pa s
  density of He-3 =   0.0819 g/cc        molar volume =  36.837 cm^3
               F1 =   5.390               magic alpha =   1.900
 
 FUDGE FACTOR FOR FINITE WIDTH CORRECTION IS 1.14
 TEMP[mK]    WIDTH      SHIFT
 TEMP[mK]     WIDTH        SHIFT      ETA/ETA(Tc)
 Now in B-phase - previously A-phase
   0.920  1025.334849   128.325970     0.5821
   0.911   960.294316   128.243719     0.4652
   0.902   956.711594   127.913663     0.4017
   0.892   973.021005   127.287838     0.3636
   0.883   986.496108   126.414511     0.3330
   0.874   993.295718   125.334807     0.3058
   0.864   996.271671   124.095250     0.2827
   0.855   996.417455   122.709196     0.2628
   0.846   993.695618   121.218330     0.2454
   0.836   988.471914   119.652072     0.2300
   0.827   993.681501   117.500128     0.2187
   0.818   992.417602   115.514222     0.2084
   0.809   989.232868   113.430755     0.1990
   0.799   984.330548   111.260767     0.1904
   0.790   977.891518   109.013996     0.1824
   0.781   970.076044   106.699063     0.1750
   0.771   961.025770   104.323621     0.1681
   0.762   950.865715   101.894493     0.1617
   0.753   939.706149    99.417785     0.1556
   0.744   927.373437    97.018208     0.1500
   0.734   923.937547    94.471835     0.1476
   0.725   919.366319    91.869202     0.1454
   0.716   913.685789    89.214417     0.1432
   0.706   906.919743    86.511669     0.1411
   0.697   899.090162    83.765256     0.1391
   0.688   890.217631    80.979601     0.1372
   0.678   880.321711    78.159276     0.1353
   0.669   869.421307    75.309015     0.1335
   0.660   857.535006    72.433735     0.1317
   0.651   844.681419    69.538543     0.1300
   0.641   829.000238    66.669892     0.1277
   0.632   812.505264    63.797780     0.1255
   0.623   795.265712    60.926191     0.1233
   0.613   777.306234    58.060158     0.1212
   0.604   758.651851    55.204889     0.1192
   0.595   739.328320    52.365778     0.1173
   0.586   719.362501    49.548406     0.1154
   0.576   698.782726    46.758539     0.1135
   0.567   677.619166    44.002119     0.1117
   0.558   655.899888    41.285437     0.1100
   0.548   637.380273    38.443482     0.1100
   0.539   617.859272    35.657193     0.1100
   0.530   597.391491    32.936677     0.1100
   0.520   576.039919    30.291794     0.1100
   0.511   553.875928    27.732033     0.1100
   0.502   530.979161    25.266384     0.1100
   0.493   507.437300    22.903206     0.1100
   0.483   483.345715    20.650103     0.1100
   0.474   458.806964    18.513792     0.1100
   0.465   433.930155    16.499988     0.1100
   0.455   408.830159    14.613294     0.1100
   0.446   383.626672    12.857109     0.1100
   0.437   358.443124    11.233554     0.1100
   0.428   333.405458     9.743420     0.1100
   0.418   308.640767     8.386143     0.1100
   0.409   284.275826     7.159802     0.1100
   0.400   260.435519     6.061160     0.1100
   0.390   237.241202     5.085728     0.1100
   0.381   214.809023     4.227864     0.1100
   0.372   193.248221     3.480900     0.1100
   0.362   172.659459     2.837308     0.1100
   0.353   153.133204     2.288875     0.1100
   0.344   134.748206     1.826906     0.1100
   0.335   117.570113     1.442438     0.1100
   0.325   101.650247     1.126449     0.1100
   0.316    87.024608     0.870069     0.1100
   0.307    73.713109     0.664774     0.1100
   0.297    61.719112     0.502551     0.1100
   0.288    51.029283     0.376039     0.1100
   0.279    41.613813     0.278630     0.1100
   0.270    33.427021     0.204532     0.1100
   0.260    26.408384     0.148788     0.1100
   0.251    20.483983     0.107262     0.1100
   0.242    15.568380     0.076588     0.1100
   0.232    11.566893     0.054094     0.1100
   0.223     8.378229     0.037707     0.1100
   0.214     5.897400     0.025855     0.1100
   0.204     4.018804     0.017360     0.1100
   0.195     2.639363     0.011350     0.1100
   0.186     1.661532     0.007176     0.1100
   0.177     0.996010     0.004353     0.1100
   0.167     0.563976     0.002509     0.1100
   0.158     0.298650     0.001359     0.1100
   0.149     0.146064     0.000683     0.1100
   0.139     0.064940     0.000313     0.1100
