# Hakonen, et al., LJTP 76, p.225-283 (1989)
# 0.5 bar
# T/Tc nu_b^2
0.762 6.140e+09
0.769 5.880e+09
0.791 5.090e+09
0.837 3.860e+09
0.847 3.650e+09
0.902 2.140e+09
0.919 1.690e+09
0.941 1.180e+09
