# Ahonen 1976 (Wheatley-78)
# 18.7 bar
# T/Tc nu_b^2
0.278 6.510e+10
0.310 6.440e+10
0.353 6.290e+10
0.364 6.240e+10
0.396 6.100e+10
0.459 5.660e+10
0.461 5.620e+10
0.493 5.370e+10
0.569 4.600e+10
0.589 4.360e+10
0.616 4.050e+10
0.625 3.950e+10
0.658 3.510e+10
0.678 3.260e+10
0.711 2.930e+10
0.731 2.700e+10
0.750 2.480e+10
0.770 2.230e+10
0.788 2.000e+10
0.809 1.800e+10
0.829 1.540e+10
0.848 1.340e+10
0.867 1.120e+10
