# Hakonen, et al., LJTP 76, p.225-283 (1989)
# 15.5 bar
# T/Tc nu_b^2
0.475 5.167e+10
0.480 5.144e+10
0.483 5.075e+10
0.487 5.104e+10
0.495 5.043e+10
0.506 4.967e+10
0.517 4.890e+10
0.527 4.797e+10
0.540 4.691e+10
0.553 4.541e+10
0.568 4.407e+10
0.584 4.227e+10
0.602 3.994e+10
0.617 3.872e+10
0.634 3.659e+10
0.654 3.426e+10
0.675 3.143e+10
0.704 2.835e+10
0.725 2.572e+10
0.752 2.300e+10
0.771 2.101e+10
0.791 1.882e+10
0.812 1.661e+10
0.833 1.452e+10
0.855 1.191e+10
0.874 9.880e+09
0.890 8.280e+09
0.907 6.730e+09
0.919 5.330e+09
0.929 4.490e+09
0.939 3.620e+09
0.948 2.830e+09
0.961 2.130e+09
