# Hakonen, et al., LJTP 76, p.225-283 (1989)
# 5.0 bar
# T/Tc nu_b^2
0.627 1.959e+10
0.637 1.870e+10
0.656 1.766e+10
0.679 1.636e+10
0.697 1.544e+10
0.715 1.438e+10
0.734 1.351e+10
0.743 1.299e+10
0.765 1.176e+10
0.810 8.960e+09
0.835 7.410e+09
0.848 6.610e+09
0.864 5.790e+09
0.881 4.940e+09
0.893 4.200e+09
0.905 3.500e+09
0.916 3.000e+09
0.927 2.490e+09
0.940 2.000e+09
0.950 1.510e+09
