# Rota, 2011-2013
# 8.2 bar
# T/Tc nu_b^2
0.412 3.625e+10
0.414 3.700e+10
0.414 3.638e+10
0.414 3.711e+10
0.414 3.654e+10
0.408 3.735e+10
0.404 3.695e+10
0.405 3.773e+10
0.403 3.706e+10
0.402 3.758e+10
0.401 3.697e+10
0.402 3.749e+10
0.402 3.687e+10
0.399 3.799e+10
0.385 3.753e+10
0.379 3.849e+10
0.378 3.755e+10
0.376 3.838e+10
0.376 3.779e+10
0.375 3.842e+10
0.376 3.784e+10
0.375 3.859e+10
0.363 3.808e+10
0.353 3.881e+10
0.350 3.852e+10
0.348 3.902e+10
0.348 3.838e+10
0.347 3.879e+10
0.373 3.819e+10
0.412 3.568e+10
0.444 3.495e+10
0.449 3.534e+10
0.454 3.448e+10
0.455 3.492e+10
0.455 3.431e+10
0.455 3.476e+10
0.463 3.381e+10
0.475 3.398e+10
0.478 3.296e+10
0.479 3.365e+10
0.475 3.305e+10
0.479 3.360e+10
0.481 3.300e+10
0.479 3.360e+10
0.477 3.292e+10
0.477 3.357e+10
0.477 3.322e+10
0.439 3.623e+10
0.432 3.552e+10
0.432 3.620e+10
0.433 3.552e+10
0.434 3.600e+10
0.433 3.543e+10
0.432 3.629e+10
0.421 3.656e+10
0.367 3.969e+10
0.304 3.925e+10
0.287 4.015e+10
0.283 3.956e+10
0.281 4.034e+10
0.280 3.930e+10
0.278 4.061e+10
0.269 3.959e+10
0.253 4.039e+10
0.241 3.982e+10
0.237 4.071e+10
0.236 4.004e+10
0.235 4.025e+10
0.229 3.982e+10
0.215 4.042e+10
0.209 3.995e+10
0.206 4.134e+10
0.205 3.932e+10
0.203 4.069e+10
0.194 3.987e+10
0.182 4.047e+10
0.178 3.977e+10
0.177 4.101e+10
0.176 4.019e+10
0.172 4.099e+10
0.162 4.030e+10
0.147 4.097e+10
0.143 3.971e+10
0.139 4.050e+10
0.138 4.047e+10
0.138 4.016e+10
0.136 4.036e+10
0.138 4.084e+10
0.137 4.060e+10
