# Kapitza resistance
# T, K           R, cm^2 K / W

# Cu - Solid He3
0.0702634831414  164405.388868
0.0941520522833  68196.8321786
0.129908032397  25943.2728715
0.174137643922  10157.0868965
0.176205476639  9904.31934033
0.213219432219  5151.09774843
0.239027863916  3246.99974633
0.286451512775  1625.00967076
0.330395997192  869.87570705
0.377440471595  465.64876464
0.427157413919  277.06950353
0.497490854404  155.620499821
0.568544151253  100

