# 1um - He3
# T, mK        Rk*T^3, K^4m^2/W
2.02590393009  0.00107041150041
2.43805479733  0.00147046381983
2.80131485458  0.00199725166764
3.49032730864  0.00293688631637
4.20040117042  0.00431858507119
5.2944584003  0.00664502062779
6.52077526661  0.0101094158134
8.03113498355  0.0150350726542
9.77750573704  0.021612729548
11.1050368156  0.0253315291725
12.6128121009  0.0293554044309
14.1604583394  0.0321431984802
16.6513269873  0.0355971509094
20.9884138365  0.0381035997152
26.1507319888  0.039422248338
33.3458012809  0.0398718619684
38.3141874285  0.0403266034751
48.8558897999  0.0403266034751
63.0232468934  0.0403266034751
86.1424684755  0.0398718619684
