# 700A - Mixt
# T, mK        Rk*T^3, K^4m^2/W
1.72284936951  0.0290243792591
2.04948802642  0.0344064493131
2.8669162163  0.0478044758873
3.91860546636  0.0649302403085
4.82624353101  0.0814609677403
6.22577009382  0.104544785408
7.93871821476  0.132656965339
9.12155431685  0.148587178356
10.8509290978  0.172190027857
12.4676725481  0.18854239446
14.32530407  0.204119695818
16.8451695944  0.220983987927
19.5803471747  0.231239125167
23.8380947681  0.239241601475
29.0216898151  0.241970169466
37.0066697109  0.247521018923
52.9788707108  0.244729856976
66.7780089789  0.244729856976
96.7125194873  0.241970169466
