# T [mK]         eta*T^2 [P*mK^2]
# 0 bar
0.971030571992  2.03371548323
0.983645627876  2.05945923734
1.07306048652  2.0660338593
1.09861932939  2.06607495069
1.09849605523  2.085367357
1.18791091387  2.09194197896
1.26454635108  2.09849605523
1.31554076266  2.11787064431
1.34126397107  2.09218852728
1.40503780408  2.11158366206
1.48216633794  2.04096811308
1.50731426693  2.10531722551
1.57112919132  2.11828155819
1.67340565417  2.11201512163
1.78895463511  2.02859960552
1.89069690993  2.10593359632
2.12093195266  2.07414940828
2.18470578567  2.09354454306
2.37643819855  2.08742192636
2.47867357002  2.08758629191
2.67024161736  2.10718688363
3.01524490467  2.11417241946
3.42414529915  2.12126068376
3.70525147929  2.12814349112
3.99909598948  2.14147764629
4.24190499671  2.14186801446
4.59972879684  2.14244329389
4.76582018409  2.14914119001
