# Hakonen, et al., LJTP 76, p.225-283 (1989)
# 25.0 bar
# T/Tc nu_b^2
0.502 6.695e+10
0.514 6.635e+10
0.521 6.522e+10
0.528 6.398e+10
0.540 6.300e+10
0.555 6.070e+10
0.578 5.820e+10
0.600 5.615e+10
0.618 5.275e+10
0.647 4.895e+10
0.670 4.604e+10
0.687 4.326e+10
0.718 3.791e+10
0.752 3.223e+10
0.782 2.833e+10
0.826 2.305e+10
0.846 1.925e+10
0.877 1.513e+10
0.896 1.220e+10
0.907 1.095e+10
0.917 9.850e+09
0.930 7.900e+09
