# Ahonen 1976 (Wheatley-78)
# 21.1 bar
# T/Tc nu_b^2
0.275 7.030e+10
0.298 6.990e+10
0.324 6.890e+10
0.338 6.860e+10
0.346 6.810e+10
0.357 6.780e+10
0.374 6.700e+10
0.395 6.590e+10
0.414 6.470e+10
0.431 6.350e+10
0.452 6.250e+10
0.491 5.990e+10
0.518 5.770e+10
0.532 5.490e+10
0.576 4.900e+10
0.594 4.680e+10
0.620 4.360e+10
0.705 3.170e+10
0.728 2.870e+10
0.752 2.660e+10
0.781 2.220e+10
0.809 1.950e+10
0.849 1.610e+10
0.878 1.480e+10
