# Ahonen 1976 (Wheatley-78)
# 32.0 bar
# T/Tc nu_b^2
0.274 9.690e+10
0.296 9.640e+10
0.319 9.570e+10
0.337 9.520e+10
0.355 9.460e+10
0.379 9.300e+10
0.398 9.160e+10
0.477 8.360e+10
0.500 8.100e+10
0.519 7.850e+10
0.542 7.560e+10
0.558 7.350e+10
0.578 7.010e+10
0.597 6.690e+10
0.615 6.540e+10
0.638 6.120e+10
0.659 5.750e+10
0.671 5.440e+10
0.702 5.160e+10
0.716 4.920e+10
0.738 4.390e+10
0.757 4.100e+10
0.774 3.730e+10
0.788 3.500e+10
