# He4
# time, s        dT, uK
-0.906191369606  0.0348432055749
-0.615384615385  0.0296167247387
-0.315196998124  0.0296167247387
-0.193245778612  0.0243902439024
-0.118198874296  0.0400696864111
-0.0900562851782  0.0662020905923
-0.0525328330206  0.134146341463
-0.0337711069418  0.18118466899
-0.015009380863  0.243902439024
0.0131332082552  0.311846689895
0.0225140712946  0.379790940767
0.0412757973734  0.45818815331
0.0506566604128  0.547038327526
0.0600375234522  0.641114982578
0.078799249531  0.735191637631
0.0975609756098  0.829268292683
0.106941838649  0.939024390244
0.116322701689  1.0331010453
0.135084427767  1.14808362369
0.153846153846  1.25261324042
0.172607879925  1.34146341463
0.181988742964  1.43554006969
0.191369606004  1.52961672474
0.210131332083  1.63414634146
0.228893058161  1.70209059233
0.238273921201  1.79094076655
0.25703564728  1.85365853659
0.266416510319  1.9425087108
0.285178236398  2
0.313320825516  2.0574912892
0.303939962477  2.10975609756
0.350844277674  2.16202090592
0.369606003752  2.23519163763
0.388367729831  2.29268292683
0.416510318949  2.31881533101
0.435272045028  2.35017421603
0.519699812383  2.35540069686
0.585365853659  2.3031358885
0.613508442777  2.26132404181
0.697936210131  2.14634146341
0.782363977486  2.04703832753
0.87617260788  1.90592334495
0.988742964353  1.75958188153
1.07317073171  1.66027874564
1.1669793621  1.57142857143
1.27954971857  1.4668989547
1.4765478424  1.32578397213
1.64540337711  1.21602787456
1.82363977486  1.13763066202
2.01125703565  1.05923344948
2.22701688555  0.975609756098
2.62101313321  0.855400696864
2.84615384615  0.797909407666
3.05253283302  0.745644599303
3.30581613508  0.693379790941
3.44652908068  0.672473867596
3.65290806754  0.641114982578
3.78424015009  0.620209059233
3.86866791745  0.609756097561
