# He3
# time, s        dT, uK
-0.962476547842  0.00348432055749
-0.596622889306  0.00348432055749
-0.296435272045  0.00348432055749
-0.136960600375  0.01393728223
-0.0806754221388  0.0243902439024
-0.0337711069418  0.0923344947735
-0.00562851782364  0.155052264808
0.0412757973734  0.259581881533
0.0694183864916  0.343205574913
0.125703564728  0.463414634146
0.153846153846  0.562717770035
0.200750469043  0.620209059233
0.219512195122  0.651567944251
0.238273921201  0.677700348432
0.266416510319  0.688153310105
0.313320825516  0.698606271777
0.350844277674  0.688153310105
0.388367729831  0.677700348432
0.454033771107  0.62543554007
0.529080675422  0.562717770035
0.604127579737  0.5
0.641651031895  0.479094076655
0.688555347092  0.426829268293
0.72607879925  0.395470383275
0.782363977486  0.364111498258
0.838649155722  0.343205574913
0.932457786116  0.301393728223
1.03564727955  0.264808362369
1.13883677298  0.238675958188
1.20450281426  0.228222996516
1.29831144465  0.217770034843
1.45778611632  0.196864111498
1.56097560976  0.186411149826
1.71106941839  0.186411149826
1.87054409006  0.170731707317
1.98311444653  0.165505226481
2.22701688555  0.155052264808
2.4052532833  0.149825783972
2.7148217636  0.134146341463
2.94934333959  0.128919860627
3.18386491557  0.123693379791
3.40900562852  0.118466898955
3.66228893058  0.113240418118
3.84990619137  0.108013937282
