# He4
# time, s       width, Hz
0.102991854637  1.80372807018
-0.166040100251  1.79912280702
0.458176691729  1.79605263158
0.727012844612  1.79989035088
0.995261591479  1.8014254386
1.35122963659  1.79682017544
1.70954730576  1.8014254386
2.24526159148  1.8014254386
2.60299185464  1.80372807018
2.24389097744  1.79605263158
2.69110275689  1.79912280702
3.22720864662  1.80065789474
3.40519266917  1.79835526316
3.58376409774  1.79835526316
3.94110275689  1.79912280702
4.29824561404  1.79912280702
4.47720864662  1.80065789474
4.65538847118  1.79912280702
4.6561716792  1.80219298246
5.1912985589  1.79989035088
5.54844141604  1.79989035088
5.90538847118  1.79912280702
6.08298088972  1.79528508772
6.61986998747  1.79989035088
6.97701284461  1.79989035088
7.24526159148  1.8014254386
7.24467418546  1.79912280702
7.86986998747  1.79989035088
8.31688596491  1.80219298246
8.67324561404  1.79912280702
8.76331453634  1.80219298246
9.11967418546  1.79912280702
9.30646929825  1.83135964912
9.41670582707  1.91348684211
9.61446585213  1.98870614035
9.89426691729  2.03552631579
9.99118890977  2.06546052632
10.1725015664  2.07620614035
10.4401629073  2.07543859649
10.5282738095  2.07083333333
10.703320802  2.05701754386
10.9686325188  2.04703947368
11.054589599  2.03399122807
11.2298323935  2.02094298246
11.404879386  2.00712719298
11.5812969925  1.99868421053
11.758106203  1.99177631579
11.7539943609  1.97565789474
12.0198934837  1.96798245614
12.107808584  1.96260964912
12.2830513784  1.94956140351
12.460252193  1.94418859649
12.7243890977  1.92960526316
12.81347901  1.9288377193
12.9885260025  1.91502192982
13.3452772556  1.91348684211
13.2540335213  1.90581140351
13.4306469298  1.89813596491
13.6084351504  1.89506578947
13.7854401629  1.8889254386
13.9624451754  1.88278508772
14.140233396  1.87971491228
14.3182174185  1.8774122807
14.4948308271  1.86973684211
14.6730106516  1.86820175439
14.7615131579  1.86513157895
14.9389097744  1.86052631579
15.2055921053  1.85592105263
15.2940946115  1.85285087719
15.5611685464  1.84978070175
15.6494752506  1.84594298246
15.9163533835  1.84210526316
16.1832315163  1.83826754386
16.5399827694  1.83673245614
16.8070567043  1.8336622807
17.1632205514  1.8298245614
18.0531406642  1.81831140351
18.8559288847  1.81524122807
19.569822995  1.81370614035
20.193843985  1.80986842105
20.8180607769  1.80679824561
21.0863095238  1.80833333333
21.4428649749  1.80603070175
21.8900767544  1.80910087719
22.2464364035  1.80603070175
22.6031876566  1.80449561404
22.7811716792  1.80219298246
23.4065632832  1.80372807018
24.0311716792  1.80219298246
23.6748120301  1.80526315789
24.2103305138  1.80449561404
24.5674733709  1.80449561404
24.9242246241  1.80296052632
25.7277960526  1.80296052632
26.4418859649  1.80219298246
27.1567590852  1.80449561404
27.5123355263  1.79835526316
27.8702615915  1.8014254386
28.4952615915  1.8014254386
29.1204573935  1.80219298246
29.6563674812  1.80296052632
30.2811716792  1.80219298246
30.8164943609  1.80065789474
31.6204573935  1.80219298246
32.4238330201  1.8014254386
33.1381187343  1.8014254386
33.8524044486  1.8014254386
34.4768170426  1.79912280702
35.2809758772  1.8014254386
36.1742246241  1.80296052632
36.9774044486  1.8014254386
37.8704573935  1.80219298246
38.4059758772  1.8014254386
39.1202615915  1.8014254386
40.0131187343  1.8014254386
40.9057800752  1.80065789474
41.6204573935  1.80219298246
42.2450657895  1.80065789474
