# T,K            eta [mP]
# s.v.p
0.0435324232665  2.04331654947
0.0412897554611  1.93674083909
0.0463849915756  1.95760172404
0.0478806239806  1.93674083909
0.0454139491243  1.83572392577
0.0454139491243  1.77766074816
0.0430743504075  1.73997587268
0.0417288500999  1.7214340845
0.04  1.73997587268
0.039579097303  1.63164718365
0.0444632348743  1.58003886778
0.0439953674873  1.63164718365
0.0458969023742  1.64922186556
0.0510181187567  1.73997587268
0.0532231857494  1.66698584663
0.0555235584994  1.7214340845
0.0489044089492  1.54654340581
0.0463849915756  1.49762688672
0.0489044089492  1.45025757662
0.0504812771621  1.46587848771
0.0504812771621  1.40438653791
0.0549393081113  1.49762688672
0.0579233562408  1.43480312739
0.0591618752183  1.33113626596
0.0532231857494  1.27529660045
0.0515606693767  1.19589825302
0.0510181187567  1.09766951793
0.0537891860868  1.09766951793
0.0610694840096  1.17054624095
0.0637089835979  1.17054624095
0.0657632088358  1.14573166967
0.0678836702792  1.08597236971
0.0708176875328  1.08597236971
0.0715707960601  1.0629506916
0.0746641755081  1.02933000718
0.0770716387109  0.996772730898
0.0787195868506  0.914899775333
0.073878516687  0.895504688757
0.073878516687  0.813190709556
0.0746641755081  0.738442956704
0.0770716387109  0.730573851679
0.0865824287986  0.813190709556
0.0875031869836  0.707466107258
0.0762606471959  0.642436464008
0.073878516687  0.615486978684
0.0829952693077  0.628817364764
0.0838778799551  0.602439185298
0.0821219459904  0.552956013136
0.080402771468  0.53546624643
0.079556727884  0.513004041125
0.0812578122766  0.481065060755
0.0972668688775  0.589667993884
0.09323704693  0.552956013136
0.0903246298155  0.547063521506
0.09323704693  0.53546624643
0.0912851843226  0.518529673706
0.0972668688775  0.507537291606
0.0962433716914  0.465849174711
0.104742679827  0.496777938531
0.105856562645  0.470866896155
0.113992566807  0.423028740872
0.101470864777  0.405283162153
0.101470864777  0.368029901283
0.110431815867  0.337800647592
0.110431815867  0.316769608093
0.116429959362  0.316769608093
0.122753894162  0.327116154831
0.122753894162  0.337800647592
0.124059316687  0.352591461875
0.121462208034  0.293882488293
0.132188606276  0.293882488293
0.130797642753  0.310054365463
0.139368477608  0.234673640985
0.148500937339  0.206362305144
0.156566818755  0.217718088439
0.156566818755  0.227251012176
0.163333832761  0.191452292695
0.161615141493  0.17953271599
0.170393325589  0.183421084877
0.177757938538  0.177619552916
0.179648299886  0.185396737
0.174036680896  0.170168612935
0.181558764225  0.164786251101
0.181558764225  0.15619129709
0.193455845485  0.149639248281
0.195513145744  0.134436511257
0.20832462192  0.133003909027
0.203963468783  0.128797051186
0.217328673006  0.118217914215
0.217328673006  0.114478731186
0.262912324471  0.0830118236318
0.283119439768  0.0830118236318
0.283119439768  0.0737834302519
0.338898385928  0.0621603694935
0.335332304811  0.0595528120784
0.40139799988  0.0523682827211
0.455726708629  0.0480668547714
0.455726708629  0.0455597742143
0.575141657212  0.0413719610692
