# T,K            eta [mP]
# 13.7 atm  = 13.88 bar
0.0521089897347  0.692468435634
0.0549393081113  0.685089251098
0.0579233562408  0.589667993884
0.0657632088358  0.53546624643
0.0657632088358  0.502128797672
0.0693351609965  0.470866896155
0.0693351609965  0.427585237909
0.0700725036408  0.400964323793
0.0746641755081  0.396691508477
0.0787195868506  0.388281990453
0.0838778799551  0.345116826824
0.0829952693077  0.323630291293
0.079556727884  0.323630291293
0.098301250413  0.272649000153
0.106982291015  0.264025226666
0.104742679827  0.255674219517
0.098301250413  0.239756267174
0.126711956797  0.201987602163
0.128059471217  0.185396737
0.156566818755  0.143362050533
0.15991453527  0.137348174152
0.210540043726  0.0923992059195
0.217328673006  0.0875798297869
0.380719105761  0.0480668547714
0.409980704209  0.0470478788848
